session,ccy,front,dte,dte_short,K,F,side_native,oi,c,p,seat,d_pct,dead,dOI_c,dOI_p,near,smile_resid,outcome,d_fwd_pct
2026-06-02,EUR,2026-07-02,30,0,1.17,1.16775,above,6342,3988,2354,1.0,0.1927,0,313,2,1,0.014,AWAY,0.9056
2026-06-02,EUR,2026-07-02,30,0,1.155,1.16775,below,5657,1316,4341,1.0,-1.0918,0,0,750,0,-0.067,,-0.3881
2026-06-02,GBP,2026-07-02,30,0,1.34,1.3465,below,3079,546,2533,1.0,-0.4827,0,-1,-1,1,-0.01,THROUGH,0.1195
2026-06-02,GBP,2026-07-02,30,0,1.335,1.3465,below,1842,481,1361,1.0,-0.8541,0,0,242,0,0.01,,-0.254
2026-06-02,GBP,2026-07-02,30,0,1.325,1.3465,below,1297,4,1293,1.0,-1.5967,0,0,0,0,-0.002,,-1.0012
2026-06-02,JPY,2026-07-02,30,0,0.0064,0.0063055,above,6911,6190,721,1.0,1.4987,0,2615,0,0,-0.109,,1.846
2026-06-02,JPY,2026-07-02,30,0,0.0063,0.0063055,below,6085,4485,1600,1.0,-0.0872,0,28,40,1,-0.2,THROUGH,0.2546
2026-06-02,JPY,2026-07-02,30,0,0.00635,0.0063055,above,4504,2303,2201,1.0,0.7057,0,8,1,0,-0.049,,1.0503
2026-06-02,AUD,2026-07-02,30,0,0.78,0.7163,above,4017,4017,0,1.0,8.8929,0,0,0,0,,,11.1349
2026-06-02,AUD,2026-07-02,30,0,0.715,0.7163,below,2890,955,1935,1.0,-0.1815,0,11,252,1,-0.044,THROUGH,1.8736
2026-06-02,AUD,2026-07-02,30,0,0.72,0.7163,above,1983,1689,294,1.0,0.5165,0,0,0,0,0.021,,2.586
2026-06-02,CAD,2026-07-02,30,0,0.78,0.7261,above,2125,2125,0,1.0,7.4232,0,0,0,0,,,8.386
2026-06-02,CAD,2026-07-02,30,0,0.74,0.7261,above,1752,1747,5,1.0,1.9143,0,2,0,0,,,2.8278
2026-06-02,CAD,2026-07-02,30,0,0.735,0.7261,above,1090,1078,12,1.0,1.2257,0,4,-2,0,-0.092,,2.133
2026-06-02,CHF,2026-07-02,30,0,1.24,1.2842,below,520,0,520,1.0,-3.4418,0,0,0,0,-0.001,,-2.0846
2026-06-02,CHF,2026-07-02,30,0,1.315,1.2842,above,327,237,90,1.0,2.3984,0,0,0,0,-0.033,,3.8377
2026-06-02,CHF,2026-07-02,30,0,1.35,1.2842,above,246,246,0,1.0,5.1238,0,0,0,0,,,6.6014
2026-06-03,EUR,2026-07-02,29,0,1.175,1.16465,above,8310,3813,4497,1.0,0.8887,0,1,0,0,-0.02,,1.3543
2026-06-03,EUR,2026-07-02,29,0,1.17,1.16465,above,6364,3986,2378,1.0,0.4594,0,-2,24,1,-0.025,AWAY,0.923
2026-06-03,EUR,2026-07-02,29,0,1.155,1.16465,below,5810,1316,4494,1.0,-0.8286,0,0,153,0,0.002,,-0.3709
2026-06-03,GBP,2026-07-02,29,0,1.34,1.3413,below,3079,546,2533,1.0,-0.0969,0,0,0,1,-0.031,THROUGH,0.1794
2026-06-03,GBP,2026-07-02,29,0,1.335,1.3413,below,1842,481,1361,1.0,-0.4697,0,0,0,1,0.024,PIN,-0.1944
2026-06-03,GBP,2026-07-02,29,0,1.325,1.3413,below,1297,4,1293,1.0,-1.2152,0,0,0,0,0.022,,-0.942
2026-06-03,JPY,2026-07-02,29,0,0.0064,0.0063,above,6944,6223,721,1.0,1.5873,0,33,0,0,-0.048,,1.9352
2026-06-03,JPY,2026-07-02,29,0,0.0063,0.0063,above,6652,4948,1704,1.0,0.0,0,463,104,1,-0.182,THROUGH,0.3424
2026-06-03,JPY,2026-07-02,29,0,0.00635,0.0063,above,4475,2275,2200,1.0,0.7937,0,-28,-1,0,-0.116,,1.1388
2026-06-03,AUD,2026-07-02,29,0,0.78,0.7115,above,4017,4017,0,1.0,9.6275,0,0,0,0,,,11.4923
2026-06-03,AUD,2026-07-02,29,0,0.715,0.7115,above,3710,1775,1935,1.0,0.4919,0,820,0,1,0.019,AWAY,2.2013
2026-06-03,AUD,2026-07-02,29,0,0.72,0.7115,above,2253,1959,294,1.0,1.1947,0,270,0,0,-0.029,,2.916
2026-06-03,CAD,2026-07-02,29,0,0.78,0.72275,above,2125,2125,0,1.0,7.9211,0,0,0,0,,,8.2657
2026-06-03,CAD,2026-07-02,29,0,0.74,0.72275,above,1752,1747,5,1.0,2.3867,0,0,0,0,,,2.7136
2026-06-03,CAD,2026-07-02,29,0,0.735,0.72275,above,1093,1081,12,1.0,1.6949,0,3,0,0,-0.083,,2.0196
2026-06-03,CHF,2026-07-02,29,0,1.24,1.276,below,520,0,520,1.0,-2.8213,0,0,0,0,0.002,,-1.891
2026-06-03,CHF,2026-07-02,29,0,1.315,1.276,above,327,237,90,1.0,3.0564,0,0,0,0,-0.108,,4.043
2026-06-03,CHF,2026-07-02,29,0,1.35,1.276,above,246,246,0,1.0,5.7994,0,0,0,0,,,6.8122
2026-06-04,EUR,2026-07-02,28,0,1.175,1.16615,above,8339,3842,4497,1.0,0.7589,0,29,0,0,-0.038,,1.28
2026-06-04,EUR,2026-07-02,28,0,1.18,1.16615,above,6573,3220,3353,1.0,1.1877,0,1394,0,0,0.003,,1.711
2026-06-04,EUR,2026-07-02,28,0,1.17,1.16615,above,6373,3996,2377,1.0,0.3301,0,10,-1,1,0.014,AWAY,0.849
2026-06-04,GBP,2026-07-02,28,0,1.34,1.342,below,3078,546,2532,1.0,-0.149,0,0,-1,1,-0.027,THROUGH,0.0448
2026-06-04,GBP,2026-07-02,28,0,1.335,1.342,below,1975,481,1494,1.0,-0.5216,0,0,133,0,-0.013,,-0.3285
2026-06-04,GBP,2026-07-02,28,0,1.325,1.342,below,1378,4,1374,1.0,-1.2668,0,0,81,0,0.032,,-1.0751
2026-06-04,JPY,2026-07-02,28,0,0.0064,0.0062985,above,6986,6257,729,1.0,1.6115,0,34,8,0,-0.073,,1.6922
2026-06-04,JPY,2026-07-02,28,0,0.0063,0.0062985,above,6777,5073,1704,1.0,0.0238,0,125,0,1,-0.257,PIN,0.1033
2026-06-04,JPY,2026-07-02,28,0,0.00635,0.0062985,above,4439,2218,2221,1.0,0.8177,0,-57,21,0,-0.115,,0.8978
2026-06-04,AUD,2026-07-02,28,0,0.78,0.71215,above,4017,4017,0,1.0,9.5275,0,0,0,0,,,11.1745
2026-06-04,AUD,2026-07-02,28,0,0.715,0.71215,above,3711,1776,1935,1.0,0.4002,0,1,0,1,-0.046,AWAY,1.9099
2026-06-04,AUD,2026-07-02,28,0,0.72,0.71215,above,2263,1969,294,1.0,1.1023,0,10,0,0,-0.061,,2.6226
2026-06-04,CAD,2026-07-02,28,0,0.78,0.72255,above,2125,2125,0,1.0,7.951,0,0,0,0,,,8.6048
2026-06-04,CAD,2026-07-02,28,0,0.74,0.72255,above,1752,1747,5,1.0,2.4151,0,0,0,0,,,3.0354
2026-06-04,CAD,2026-07-02,28,0,0.735,0.72255,above,1141,1130,11,1.0,1.7231,0,49,-1,0,,,2.3392
2026-06-04,CHF,2026-07-02,28,0,1.24,1.28065,below,520,0,520,1.0,-3.1742,0,0,0,0,-0.023,,-2.1542
2026-06-04,CHF,2026-07-02,28,0,1.315,1.28065,above,327,237,90,1.0,2.6822,0,0,0,0,0.004,,3.7639
2026-06-04,CHF,2026-07-02,28,0,1.35,1.28065,above,246,246,0,1.0,5.4152,0,0,0,0,,,6.5257
2026-06-05,EUR,2026-07-02,27,0,1.145,1.15695,below,13817,6,13811,1.0,-1.0329,0,5,9168,0,-0.015,,-1.4418
2026-06-05,EUR,2026-07-02,27,0,1.155,1.15695,below,9100,1409,7691,1.0,-0.1685,0,93,2812,1,-0.011,AWAY,-0.581
2026-06-05,EUR,2026-07-02,27,0,1.14,1.15695,below,8838,2,8836,1.0,-1.4651,0,1,6173,0,-0.011,,-1.8722
2026-06-05,GBP,2026-07-02,27,0,1.34,1.3333,above,3128,596,2532,1.0,0.5025,0,50,0,0,-0.031,,-0.0895
2026-06-05,GBP,2026-07-02,27,0,1.335,1.3333,above,2054,482,1572,1.0,0.1275,0,1,78,1,0.008,THROUGH,-0.4623
2026-06-05,GBP,2026-07-02,27,0,1.325,1.3333,below,1488,4,1484,1.0,-0.6225,0,0,110,0,0.018,,-1.2079
2026-06-05,JPY,2026-07-02,27,0,0.0063,0.006293,above,8290,5094,3196,1.0,0.1112,0,21,1492,1,-0.264,PIN,0.2147
2026-06-05,JPY,2026-07-02,27,0,0.0064,0.006293,above,7085,6355,730,1.0,1.7003,0,98,1,0,-0.089,,1.8055
2026-06-05,JPY,2026-07-02,27,0,0.00635,0.006293,above,4501,2266,2235,1.0,0.9058,0,48,14,0,-0.073,,1.0101
2026-06-05,AUD,2026-07-02,27,0,0.78,0.70285,above,4017,4017,0,1.0,10.9767,0,0,0,0,,,10.8821
2026-06-05,AUD,2026-07-02,27,0,0.715,0.70285,above,3738,1803,1935,1.0,1.7287,0,27,0,0,0.089,,1.6419
2026-06-05,AUD,2026-07-02,27,0,0.72,0.70285,above,2283,1989,294,1.0,2.4401,0,20,0,0,-0.111,,2.3527
2026-06-05,CAD,2026-07-02,27,0,0.78,0.71985,above,2125,2125,0,1.0,8.3559,0,0,0,0,,,8.6124
2026-06-05,CAD,2026-07-02,27,0,0.74,0.71985,above,1751,1746,5,1.0,2.7992,0,-1,0,0,,,3.0425
2026-06-05,CAD,2026-07-02,27,0,0.735,0.71985,above,1137,1130,7,1.0,2.1046,0,0,-4,0,,,2.3463
2026-06-05,CHF,2026-07-02,27,0,1.24,1.26925,below,520,0,520,1.0,-2.3045,0,0,0,0,-0.015,,-2.1735
2026-06-05,CHF,2026-07-02,27,0,1.315,1.26925,above,327,237,90,1.0,3.6045,0,0,0,0,-0.0,,3.7434
2026-06-05,CHF,2026-07-02,27,0,1.35,1.26925,above,246,246,0,1.0,6.362,0,0,0,0,,,6.5047
2026-06-08,EUR,2026-07-02,24,0,1.145,1.15735,below,14818,6,14812,1.0,-1.0671,0,0,1001,0,-0.003,,-1.6027
2026-06-08,EUR,2026-07-02,24,0,1.155,1.15735,below,9028,1411,7617,1.0,-0.2031,0,2,-74,1,0.038,AWAY,-0.7434
2026-06-08,EUR,2026-07-02,24,0,1.16,1.15735,above,8881,662,8219,1.0,0.229,0,21,3595,1,-0.022,THROUGH,-0.3137
2026-06-08,GBP,2026-07-02,24,0,1.34,1.3334,above,3078,546,2532,1.0,0.495,0,-50,0,1,0.004,THROUGH,-0.1193
2026-06-08,GBP,2026-07-02,24,0,1.335,1.3334,above,2054,482,1572,1.0,0.12,0,0,0,1,0.004,THROUGH,-0.4919
2026-06-08,GBP,2026-07-02,24,0,1.325,1.3334,below,1506,4,1502,1.0,-0.63,0,0,18,0,-0.003,,-1.2373
2026-06-08,JPY,2026-07-02,24,0,0.0063,0.0062885,above,8644,5447,3197,1.0,0.1829,0,353,1,1,-0.035,PIN,0.2786
2026-06-08,JPY,2026-07-02,24,0,0.0064,0.0062885,above,7079,6349,730,1.0,1.7731,0,-6,0,0,-0.027,,1.8703
2026-06-08,JPY,2026-07-02,24,0,0.00635,0.0062885,above,4512,2277,2235,1.0,0.978,0,11,0,0,0.017,,1.0744
2026-06-08,AUD,2026-07-02,24,0,0.78,0.70295,above,4017,4017,0,1.0,10.961,0,0,0,0,,,10.4581
2026-06-08,AUD,2026-07-02,24,0,0.715,0.70295,above,3728,1793,1935,1.0,1.7142,0,-10,0,0,0.123,,1.2533
2026-06-08,AUD,2026-07-02,24,0,0.72,0.70295,above,2290,1996,294,1.0,2.4255,0,7,0,0,0.133,,1.9613
2026-06-08,CAD,2026-07-02,24,0,0.78,0.7195,above,2125,2125,0,1.0,8.4086,0,0,0,0,,,8.6805
2026-06-08,CAD,2026-07-02,24,0,0.74,0.7195,above,1751,1746,5,1.0,2.8492,0,0,0,0,,,3.1071
2026-06-08,CAD,2026-07-02,24,0,0.735,0.7195,above,1137,1130,7,1.0,2.1543,0,0,0,0,,,2.4105
2026-06-08,CHF,2026-07-02,24,0,1.24,1.26645,below,528,0,528,1.0,-2.0885,0,0,8,0,-0.012,,-2.5004
2026-06-08,CHF,2026-07-02,24,0,1.315,1.26645,above,327,237,90,1.0,3.8336,0,0,0,0,-0.065,,3.3968
2026-06-08,CHF,2026-07-02,24,0,1.35,1.26645,above,246,246,0,1.0,6.5972,0,0,0,0,,,6.1488
2026-06-09,EUR,2026-07-02,23,0,1.145,1.1595,below,15852,6,15846,1.0,-1.2505,0,0,1034,0,-0.014,,-1.7378
2026-06-09,EUR,2026-07-02,23,0,1.16,1.1595,above,10290,671,9619,1.0,0.0431,0,9,1400,1,-0.022,THROUGH,-0.4505
2026-06-09,EUR,2026-07-02,23,0,1.155,1.1595,below,9035,1411,7624,1.0,-0.3881,0,0,7,1,-0.033,AWAY,-0.8796
2026-06-09,GBP,2026-07-02,23,0,1.34,1.3384,above,3080,546,2534,1.0,0.1195,0,0,2,1,-0.033,THROUGH,-0.1937
2026-06-09,GBP,2026-07-02,23,0,1.335,1.3384,below,2055,482,1573,1.0,-0.254,0,0,1,1,-0.037,AWAY,-0.5661
2026-06-09,GBP,2026-07-02,23,0,1.325,1.3384,below,1535,4,1531,1.0,-1.0012,0,0,29,0,0.032,,-1.3109
2026-06-09,JPY,2026-07-02,23,0,0.0063,0.006284,above,8595,5452,3143,1.0,0.2546,0,5,-54,1,-0.077,PIN,0.3664
2026-06-09,JPY,2026-07-02,23,0,0.0064,0.006284,above,7083,6353,730,1.0,1.846,0,4,0,0,0.074,,1.9595
2026-06-09,JPY,2026-07-02,23,0,0.00635,0.006284,above,4510,2275,2235,1.0,1.0503,0,-2,0,0,0.026,,1.163
2026-06-09,AUD,2026-07-02,23,0,0.78,0.70185,above,4017,4017,0,1.0,11.1349,0,0,0,0,,,10.4894
2026-06-09,AUD,2026-07-02,23,0,0.715,0.70185,above,3724,1793,1931,1.0,1.8736,0,0,-4,0,0.021,,1.282
2026-06-09,AUD,2026-07-02,23,0,0.72,0.70185,above,2372,2081,291,1.0,2.586,0,85,-3,0,-0.137,,1.9902
2026-06-09,CAD,2026-07-02,23,0,0.78,0.71965,above,2125,2125,0,1.0,8.386,0,0,0,0,,,8.726
2026-06-09,CAD,2026-07-02,23,0,0.74,0.71965,above,1748,1743,5,1.0,2.8278,0,-3,0,0,,,3.1503
2026-06-09,CAD,2026-07-02,23,0,0.735,0.71965,above,1137,1130,7,1.0,2.133,0,0,0,0,,,2.4533
2026-06-09,CHF,2026-07-02,23,0,1.24,1.2664,below,528,0,528,1.0,-2.0846,0,0,0,0,-0.102,,-2.5961
2026-06-09,CHF,2026-07-02,23,0,1.315,1.2664,above,322,232,90,1.0,3.8377,0,-5,0,0,,,3.2952
2026-06-09,CHF,2026-07-02,23,0,1.35,1.2664,above,246,246,0,1.0,6.6014,0,0,0,0,,,6.0445
2026-06-10,EUR,2026-07-02,22,0,1.145,1.1593,below,15950,6,15944,1.0,-1.2335,0,0,98,0,-0.013,,-1.1184
2026-06-10,EUR,2026-07-02,22,0,1.16,1.1593,above,10730,819,9911,1.0,0.0604,0,148,292,1,-0.065,PIN,0.177
2026-06-10,EUR,2026-07-02,22,0,1.155,1.1593,below,9089,1419,7670,1.0,-0.3709,0,8,46,1,-0.031,PIN,-0.2548
2026-06-10,GBP,2026-07-02,22,0,1.34,1.3376,above,3080,546,2534,1.0,0.1794,0,0,0,1,0.006,PIN,0.4874
2026-06-10,GBP,2026-07-02,22,0,1.335,1.3376,below,2055,482,1573,1.0,-0.1944,0,0,0,1,0.003,THROUGH,0.1125
2026-06-10,GBP,2026-07-02,22,0,1.325,1.3376,below,1537,4,1533,1.0,-0.942,0,0,2,0,-0.008,,-0.6374
2026-06-10,JPY,2026-07-02,22,0,0.0063,0.0062785,above,8581,5453,3128,1.0,0.3424,0,1,-15,1,-0.128,PIN,0.4304
2026-06-10,JPY,2026-07-02,22,0,0.0064,0.0062785,above,7137,6407,730,1.0,1.9352,0,54,0,0,-0.063,,2.0245
2026-06-10,JPY,2026-07-02,22,0,0.00635,0.0062785,above,4511,2277,2234,1.0,1.1388,0,2,-1,0,-0.0,,1.2275
2026-06-10,AUD,2026-07-02,22,0,0.78,0.6996,above,4017,4017,0,1.0,11.4923,0,0,0,0,,,10.9531
2026-06-10,AUD,2026-07-02,22,0,0.715,0.6996,above,3745,1814,1931,1.0,2.2013,0,21,0,0,0.007,,1.707
2026-06-10,AUD,2026-07-02,22,0,0.72,0.6996,above,2373,2082,291,1.0,2.916,0,1,0,0,,,2.4182
2026-06-10,CAD,2026-07-02,22,0,0.78,0.72045,above,2125,2125,0,1.0,8.2657,0,0,0,0,,,9.3356
2026-06-10,CAD,2026-07-02,22,0,0.74,0.72045,above,1746,1741,5,1.0,2.7136,0,-2,0,0,,,3.7286
2026-06-10,CAD,2026-07-02,22,0,0.735,0.72045,above,1135,1128,7,1.0,2.0196,0,-2,0,0,,,3.0278
2026-06-10,CHF,2026-07-02,22,0,1.24,1.2639,below,528,0,528,1.0,-1.891,0,0,0,0,-0.073,,-2.0653
2026-06-10,CHF,2026-07-02,22,0,1.315,1.2639,above,322,232,90,1.0,4.043,0,0,0,0,,,3.8582
2026-06-10,CHF,2026-07-02,22,0,1.35,1.2639,above,246,246,0,1.0,6.8122,0,0,0,0,,,6.6224
2026-06-11,EUR,2026-07-02,21,0,1.145,1.16015,below,14505,67,14438,1.0,-1.3059,0,61,-1506,0,0.048,,-0.4434
2026-06-11,EUR,2026-07-02,21,0,1.16,1.16015,below,10774,852,9922,1.0,-0.0129,0,33,11,1,0.003,THROUGH,0.8608
2026-06-11,EUR,2026-07-02,21,0,1.155,1.16015,below,8985,1478,7507,1.0,-0.4439,0,59,-163,1,-0.08,THROUGH,0.426
2026-06-11,GBP,2026-07-02,21,0,1.34,1.3394,above,3095,563,2532,1.0,0.0448,0,17,-2,1,0.048,AWAY,1.4921
2026-06-11,GBP,2026-07-02,21,0,1.335,1.3394,below,2056,486,1570,1.0,-0.3285,0,4,-3,1,-0.035,THROUGH,1.1134
2026-06-11,GBP,2026-07-02,21,0,1.325,1.3394,below,1633,4,1629,1.0,-1.0751,0,0,96,0,-0.012,,0.356
2026-06-11,JPY,2026-07-02,21,0,0.0063,0.0062935,above,8570,5441,3129,1.0,0.1033,0,-12,1,1,-0.02,AWAY,1.1561
2026-06-11,JPY,2026-07-02,21,0,0.0064,0.0062935,above,7276,6546,730,1.0,1.6922,0,139,0,0,-0.02,,2.7617
2026-06-11,JPY,2026-07-02,21,0,0.00635,0.0062935,above,4516,2282,2234,1.0,0.8978,0,5,0,0,0.028,,1.9589
2026-06-11,AUD,2026-07-02,21,0,0.78,0.7016,above,4017,4017,0,1.0,11.1745,0,0,0,0,,,11.3729
2026-06-11,AUD,2026-07-02,21,0,0.715,0.7016,above,3744,1814,1930,1.0,1.9099,0,0,-1,0,0.031,,2.0918
2026-06-11,AUD,2026-07-02,21,0,0.72,0.7016,above,2373,2082,291,1.0,2.6226,0,0,0,0,-0.14,,2.8057
2026-06-11,CAD,2026-07-02,21,0,0.78,0.7182,above,2125,2125,0,1.0,8.6048,0,0,0,0,,,9.8746
2026-06-11,CAD,2026-07-02,21,0,0.74,0.7182,above,1746,1741,5,1.0,3.0354,0,0,0,0,,,4.24
2026-06-11,CAD,2026-07-02,21,0,0.735,0.7182,above,1126,1120,6,1.0,2.3392,0,-8,-1,0,,,3.5357
2026-06-11,CHF,2026-07-02,21,0,1.24,1.2673,below,529,1,528,1.0,-2.1542,0,1,0,0,0.073,,-1.1046
2026-06-11,CHF,2026-07-02,21,0,1.315,1.2673,above,322,232,90,1.0,3.7639,0,0,0,0,,,4.877
2026-06-11,CHF,2026-07-02,21,0,1.35,1.2673,above,246,246,0,1.0,6.5257,0,0,0,0,,,7.6684
2026-06-12,EUR,2026-07-02,20,0,1.145,1.16175,below,14497,67,14430,1.0,-1.4418,0,0,-8,0,0.047,,-0.1134
2026-06-12,EUR,2026-07-02,20,0,1.16,1.16175,below,11455,946,10509,1.0,-0.1506,0,94,587,1,-0.042,THROUGH,1.1951
2026-06-12,EUR,2026-07-02,20,0,1.15,1.16175,below,8998,291,8707,1.0,-1.0114,0,0,1002,0,0.061,,0.3228
2026-06-12,GBP,2026-07-02,20,0,1.34,1.3412,below,3095,563,2532,1.0,-0.0895,0,0,0,1,0.051,THROUGH,1.2008
2026-06-12,GBP,2026-07-02,20,0,1.335,1.3412,below,2056,486,1570,1.0,-0.4623,0,0,0,1,0.004,THROUGH,0.8232
2026-06-12,GBP,2026-07-02,20,0,1.325,1.3412,below,1633,4,1629,1.0,-1.2079,0,0,0,0,-0.018,,0.068
2026-06-12,JPY,2026-07-02,20,0,0.0063,0.0062865,above,8578,5450,3128,1.0,0.2147,0,9,-1,1,-0.023,AWAY,1.0101
2026-06-12,JPY,2026-07-02,20,0,0.0064,0.0062865,above,7284,6554,730,1.0,1.8055,0,8,0,0,-0.056,,2.6134
2026-06-12,JPY,2026-07-02,20,0,0.00635,0.0062865,above,4513,2282,2231,1.0,1.0101,0,0,-3,0,0.043,,1.8118
2026-06-12,AUD,2026-07-02,20,0,0.78,0.70345,above,4017,4017,0,1.0,10.8821,1,0,0,0,,,11.596
2026-06-12,AUD,2026-07-02,20,0,0.715,0.70345,above,3822,1895,1927,1.0,1.6419,0,81,-3,0,-0.069,,2.2963
2026-06-12,AUD,2026-07-02,20,0,0.72,0.70345,above,2375,2084,291,1.0,2.3527,0,2,0,0,-0.137,,3.0117
2026-06-12,CAD,2026-07-02,20,0,0.78,0.71815,above,2125,2125,0,1.0,8.6124,1,0,0,0,,,10.0219
2026-06-12,CAD,2026-07-02,20,0,0.74,0.71815,above,1746,1741,5,1.0,3.0425,0,0,0,0,,,4.3797
2026-06-12,CAD,2026-07-02,20,0,0.735,0.71815,above,1127,1120,7,1.0,2.3463,0,0,1,0,,,3.6744
2026-06-12,CHF,2026-07-02,20,0,1.24,1.26755,below,529,1,528,1.0,-2.1735,0,0,0,0,0.061,,-0.5733
2026-06-12,CHF,2026-07-02,20,0,1.315,1.26755,above,322,232,90,1.0,3.7434,0,0,0,0,,,5.4404
2026-06-12,CHF,2026-07-02,20,0,1.35,1.26755,above,246,246,0,1.0,6.5047,1,0,0,0,,,8.2468
2026-06-15,EUR,2026-07-02,17,0,1.145,1.16365,below,14793,67,14726,1.0,-1.6027,0,0,296,0,-0.036,,0.2759
2026-06-15,EUR,2026-07-02,17,0,1.16,1.16365,below,11426,945,10481,1.0,-0.3137,0,-1,-28,1,-0.018,THROUGH,1.5895
2026-06-15,EUR,2026-07-02,17,0,1.15,1.16365,below,8989,289,8700,1.0,-1.173,0,-2,-7,0,-0.016,,0.7138
2026-06-15,GBP,2026-07-02,17,0,1.34,1.3416,below,3095,563,2532,1.0,-0.1193,0,0,0,1,-0.028,THROUGH,1.6075
2026-06-15,GBP,2026-07-02,17,0,1.335,1.3416,below,2056,486,1570,1.0,-0.4919,0,0,0,1,0.053,THROUGH,1.2284
2026-06-15,GBP,2026-07-02,17,0,1.325,1.3416,below,1668,4,1664,1.0,-1.2373,0,0,35,0,-0.013,,0.4701
2026-06-15,JPY,2026-07-02,17,0,0.0063,0.0062825,above,8583,5455,3128,1.0,0.2786,0,5,0,1,-0.025,AWAY,1.1155
2026-06-15,JPY,2026-07-02,17,0,0.0064,0.0062825,above,7420,6690,730,1.0,1.8703,0,136,0,0,0.242,,2.7205
2026-06-15,JPY,2026-07-02,17,0,0.00635,0.0062825,above,4519,2288,2231,1.0,1.0744,0,6,0,0,0.025,,1.918
2026-06-15,AUD,2026-07-02,17,0,0.78,0.70615,above,4017,4017,0,1.0,10.4581,1,0,0,0,,,13.0517
2026-06-15,AUD,2026-07-02,17,0,0.715,0.70615,above,3823,1896,1927,1.0,1.2533,0,1,0,0,-0.162,,3.6307
2026-06-15,AUD,2026-07-02,17,0,0.72,0.70615,above,2363,2084,279,1.0,1.9613,0,0,-12,0,-0.058,,4.3554
2026-06-15,CAD,2026-07-02,17,0,0.78,0.7177,above,2125,2125,0,1.0,8.6805,1,0,0,0,,,10.4659
2026-06-15,CAD,2026-07-02,17,0,0.74,0.7177,above,1746,1741,5,1.0,3.1071,0,0,0,0,,,4.801
2026-06-15,CAD,2026-07-02,17,0,0.735,0.7177,above,1127,1120,7,1.0,2.4105,0,0,0,0,,,4.0929
2026-06-15,CHF,2026-07-02,17,0,1.24,1.2718,below,529,1,528,1.0,-2.5004,0,0,0,0,-0.202,,-0.4656
2026-06-15,CHF,2026-07-02,17,0,1.315,1.2718,above,322,232,90,1.0,3.3968,0,0,0,0,,,5.5547
2026-06-15,CHF,2026-07-02,17,0,1.35,1.2718,above,246,246,0,1.0,6.1488,1,0,0,0,,,8.3641
2026-06-16,EUR,2026-07-02,16,0,1.145,1.16525,below,14794,67,14727,1.0,-1.7378,0,0,1,0,0.055,,0.4915
2026-06-16,EUR,2026-07-02,16,0,1.16,1.16525,below,11392,923,10469,1.0,-0.4505,0,-22,-12,1,0.026,THROUGH,1.808
