# QUALITY=CLEAN | XAU ~ const+be+slope+log_nfa | Kalman TVP δ=0.995 | IC4w=0.1702 IC8w=0.2479 hit8w=0.5235 | var_ratio=2.402 HL=267.9w | cot_as_of=20260623 | generated by metals_fairvalue_g8.py v3
DATE,PX,FAIR,RESID,MDP_Z,MDP_ADJ,RISK_W,COT_MULT,SIGNAL,B_CONST,B_BE,B_SLOPE,B_LOG_NFA
20080122,890.3,733.1054,0.194228,,,0.1968,1.0,,-93.257556,0.584537,-0.002968,6.031454
20080129,925.1,759.1295,0.197689,,,0.1968,1.0,,-93.978093,0.589967,-0.001256,6.075792
20080205,890.3,754.3415,0.165673,,,0.1971,1.0,,-94.283193,0.591238,0.002102,6.094787
20080212,911.1,780.9646,0.154082,,,0.1968,1.0,,-94.664676,0.593864,0.004514,6.118334
20080219,929.8,819.1562,0.126654,,,0.1967,1.0,,-95.018397,0.596896,0.006713,6.140074
20080226,948.9,887.4897,0.066866,,,0.1968,1.0,,-95.304936,0.600202,0.007823,6.15754
20080304,966.3,924.5625,0.044114,,,0.1976,1.0,,-95.555025,0.603093,0.008303,6.172771
20080311,976.0,979.1227,-0.003234,,,0.1994,1.0,,-95.532619,0.602819,0.008276,6.171409
20080318,1004.3,870.7885,0.142608,,,0.2022,1.0,,-96.069664,0.608482,0.011526,6.204251
20080325,935.0,826.5107,0.123294,,,0.2027,1.0,,-96.355565,0.609539,0.013857,6.222043
20080401,887.8,902.8835,-0.016887,,,0.2026,1.0,,-96.296492,0.60902,0.013552,6.218416
20080408,918.0,886.49,0.034888,,,0.2029,1.0,,-96.397988,0.609786,0.014301,6.224671
20080415,932.0,857.6871,0.083054,,,0.203,1.0,,-96.617472,0.611409,0.016053,6.238207
20080422,925.2,816.256,0.125243,,,0.2029,1.0,,-96.701282,0.611706,0.019791,6.2435
20080429,876.8,826.237,0.059358,,,0.2024,1.0,,-96.734823,0.611623,0.021347,6.24565
20080506,877.7,893.3188,-0.017678,,,0.2019,1.0,,-96.714019,0.611301,0.020817,6.244383
20080513,869.6,911.4799,-0.047076,,,0.2015,1.0,,-96.637482,0.610199,0.019485,6.239726
20080520,920.2,943.0372,-0.024554,,,0.2011,1.0,,-96.552692,0.608926,0.018923,6.234597
20080527,907.9,948.3716,-0.043652,,,0.2013,1.0,,-96.381362,0.606499,0.018011,6.224216
20080603,885.5,925.2106,-0.043909,,,0.2016,1.0,,-96.295708,0.605292,0.016833,6.219008
20080610,871.2,994.0279,-0.131934,,,0.2012,1.0,,-95.90251,0.598509,0.013327,6.195335
20080617,886.9,961.3681,-0.080665,,,0.2011,1.0,,-95.78515,0.595824,0.011127,6.188341
20080624,891.6,928.9552,-0.041083,,,0.2007,1.0,,-95.723641,0.594633,0.010153,6.184646
20080701,944.5,1009.1599,-0.066257,,,0.2003,1.0,,-95.402802,0.590056,0.009165,6.165231
20080708,923.3,998.4233,-0.078263,,,0.2009,1.0,,-95.091534,0.58627,0.007895,6.146291
20080715,978.7,976.8376,0.001866,,,0.2011,1.0,,-95.100886,0.58638,0.007916,6.14686
20080722,948.5,981.4306,-0.034169,,,0.2016,1.0,,-95.01178,0.585397,0.007219,6.141416
20080729,916.5,933.9592,-0.01891,,,0.2014,1.0,,-94.992983,0.585554,0.006801,6.140207
20080805,886.1,951.7475,-0.07151,,,0.201,1.0,,-94.929153,0.586772,0.005178,6.135996
20080812,814.6,925.3134,-0.127476,,,0.2005,1.0,,-95.071023,0.594552,0.002074,6.143644
20080819,816.8,923.9757,-0.123332,,,0.2,1.0,,-95.190261,0.602324,-0.000478,6.14989
20080826,828.1,938.2222,-0.124894,,,0.1996,1.0,,-95.235987,0.608597,-0.002707,6.151768
20080902,810.5,910.2743,-0.116136,,,0.1991,1.0,,-95.410823,0.617682,-0.004684,6.16131
20080909,792.0,868.0479,-0.091727,,,0.1987,1.0,,-95.663531,0.627433,-0.006225,6.175634
20080916,780.5,697.2907,0.11269,,,0.1985,1.0,,-94.791964,0.60613,-0.003727,6.124336
20080923,891.2,878.7617,0.014014,,,0.2008,1.0,,-94.737695,0.604668,-0.003427,6.121164
20080930,880.8,942.7121,-0.067972,,,0.2011,1.0,,-94.86879,0.613672,-0.004249,6.128014
20081007,882.0,904.0864,-0.024776,,,0.2007,1.0,,-94.877739,0.617835,-0.004187,6.127957
20081014,839.5,835.968,0.004172,,,0.2002,1.0,,-94.834129,0.616957,-0.004065,6.125361
20081021,768.0,1152.5929,-0.406025,,,0.2055,1.0,,-96.320166,0.671885,-0.011412,6.210079
20081028,740.5,962.606,-0.262365,,,0.2056,1.0,,-97.188105,0.692351,-0.013809,6.2613
20081104,757.3,870.1205,-0.138917,,,0.2061,1.0,,-97.594423,0.700344,-0.015072,6.285511
20081111,732.8,1132.2905,-0.435171,,,0.2066,1.0,,-97.822761,0.717233,-0.017275,6.297276
20081118,732.7,935.8422,-0.244757,,,0.2061,1.0,,-98.067772,0.726622,-0.01786,6.311205
20081125,818.5,763.4129,0.069628,,,0.2058,1.0,,-97.984376,0.723585,-0.017813,6.306439
20081202,783.3,834.1295,-0.062919,,,0.2055,1.0,,-98.023699,0.726009,-0.017781,6.308541
20081209,774.2,744.1634,0.039523,,,0.2051,1.0,,-97.966099,0.724223,-0.017741,6.305203
20081216,842.7,702.6583,0.181695,,,0.2049,1.0,,-97.78796,0.716091,-0.017881,6.295261
20081223,838.1,692.726,0.190458,,,0.2045,1.0,,-97.610768,0.70814,-0.018062,6.285352
20081230,870.0,635.3729,0.314236,,,0.2041,1.0,,-97.161766,0.694756,-0.018128,6.25925
20090106,866.0,895.4473,-0.033484,,,0.2039,1.0,,-97.158962,0.695498,-0.018107,6.258966
20090113,820.7,1073.9556,-0.268992,,,0.2034,1.0,,-96.864691,0.699481,-0.017522,6.239988
20090120,855.2,1070.325,-0.224428,,,0.2031,1.0,,-96.637918,0.702463,-0.017056,6.225376
20090127,899.5,1261.6215,-0.33836,,,0.2028,1.0,,-96.108853,0.704239,-0.016393,6.192044
20090203,892.5,1548.6421,-0.551154,,,0.2027,1.0,,-95.001383,0.702263,-0.015469,6.123104
20090210,914.2,1599.814,-0.55964,,,0.203,1.0,,-94.14617,0.699883,-0.014819,6.069992
20090217,967.5,1517.7088,-0.450289,,,0.2031,1.0,,-93.654127,0.699208,-0.014289,6.039333
20090224,969.5,1490.4482,-0.430099,,,0.203,1.0,,-93.269554,0.699076,-0.013899,6.015314
20090303,913.6,1547.41,-0.526993,,,0.2029,1.0,,-92.85123,0.699138,-0.013499,5.989156
20090310,895.9,1402.0524,-0.447912,,,0.2026,1.0,,-92.611871,0.699738,-0.013306,5.974105
20090317,916.8,1692.0266,-0.61284,,,0.2022,1.0,,-92.065149,0.698272,-0.012834,5.940145
20090324,923.8,1982.894,-0.763863,,,0.2022,1.0,,-91.171942,0.694439,-0.011815,5.884877
20090331,925.0,2056.2932,-0.798913,,,0.2025,1.0,,-90.399791,0.691177,-0.010917,5.837093
20090407,883.3,2098.7479,-0.865477,,,0.2026,1.0,,-89.687596,0.687934,-0.010176,5.793052
20090414,892.0,2051.9269,-0.833114,,,0.2027,1.0,,-89.087404,0.685292,-0.00948,5.755926
20090421,882.7,2058.5218,-0.846804,,,0.2028,1.0,,-88.578155,0.683093,-0.008927,5.724418
20090428,893.6,2525.572,-1.039011,,,0.2027,1.0,,-87.885955,0.679354,-0.008222,5.6817
20090505,904.3,2167.2944,-0.874119,,,0.2028,1.0,,-87.454149,0.677136,-0.007819,5.655035
20090512,923.9,2168.2113,-0.853099,,,0.2027,1.0,,-87.055506,0.675017,-0.007454,5.630428
20090519,926.7,2449.1447,-0.971909,,,0.2026,1.0,,-86.565897,0.672192,-0.007004,5.60024
20090526,953.3,2817.2411,-1.083628,,,0.2025,1.0,,-85.996779,0.668594,-0.006516,5.565194
20090602,984.4,3113.8348,-1.151621,,,0.2026,1.0,,-85.401679,0.664588,-0.00603,5.528584
20090609,954.7,3192.6401,-1.20725,,,0.2027,1.0,,-84.85978,0.660852,-0.005643,5.49526
20090616,932.2,2772.8441,-1.090125,,,0.2027,1.0,,-84.457721,0.658276,-0.005323,5.470506
20090623,924.3,2815.6026,-1.113939,,,0.2025,1.0,,-84.064903,0.655751,-0.005003,5.446323
20090630,927.4,2610.0763,-1.034794,,,0.2024,1.0,,-83.739156,0.653715,-0.004731,5.42626
20090707,929.1,2432.8568,-0.962649,,,0.2022,1.0,,-83.464644,0.65211,-0.004492,5.409337
20090714,922.8,2565.1439,-1.022401,,,0.202,1.0,,-83.165765,0.650317,-0.004236,5.390919
20090721,946.9,2865.4331,-1.107325,,,0.2017,1.0,,-82.803924,0.648025,-0.003908,5.368638
20090728,939.1,2864.8168,-1.115381,,,0.2016,1.0,,-82.463412,0.645779,-0.003639,5.347683
20090804,969.7,2947.9277,-1.111914,,,0.2014,1.0,,-82.11947,0.643504,-0.003352,5.326519
20090811,947.6,2977.2296,-1.144859,,,0.2013,1.0,,-81.782571,0.641255,-0.00308,5.30579
20090818,939.2,2784.8068,-1.086949,,,0.2011,1.0,,-81.479345,0.639381,-0.002795,5.287112
20090825,946.0,2791.9004,-1.082278,,,0.2009,1.0,,-81.173456,0.637497,-0.002495,5.268269
20090901,956.5,2824.2727,-1.082769,,,0.2008,1.0,,-80.871128,0.635705,-0.002178,5.249636
20090908,999.8,3013.7747,-1.103436,,,0.2006,1.0,,-80.549242,0.633671,-0.001858,5.229815
20090915,1006.3,3131.8942,-1.1354,,,0.2004,1.0,,-80.210113,0.631522,-0.00151,5.208933
20090922,1015.5,3021.8446,-1.090529,,,0.2003,1.0,,-79.897521,0.629551,-0.001192,5.189684
20090929,994.4,2837.1513,-1.048459,,,0.2002,1.0,,-79.615563,0.627835,-0.000895,5.172313
20091006,1039.7,3033.487,-1.070823,,,0.2,1.0,,-79.302648,0.625928,-0.000545,5.153034
20091013,1065.0,3256.7064,-1.117784,,,0.1999,1.0,,-78.96122,0.623752,-0.000176,5.132013
20091020,1058.6,3571.5069,-1.216082,,,0.1999,1.0,,-78.570242,0.621201,0.00025,5.10795
20091027,1035.4,3556.303,-1.233976,,,0.1998,1.0,,-78.196505,0.618724,0.000633,5.084954
20091103,1084.9,3924.3573,-1.285757,,,0.1998,1.0,,-77.790498,0.616017,0.001063,5.059974
20091110,1102.5,4142.7185,-1.323814,,,0.1998,1.0,,-77.365045,0.613101,0.00151,5.03381
